 AADE Ed J; AADE editors' journal
 Acta Eur Fertil; Acta Europaea fertilitatis
 Acta Gastroenterol Belg; Acta gastro-enterologica Belgica
 Acta Gastroenterol Latinoam; Acta gastroenterologica Latinoamericana
 Acta Genet Stat Med; Acta genetica et statistica medica
 Acta Genet Med Gemellol Roma; Acta geneticae medicae et gemellologiae
 Acta Gerontol Milano; Acta gerontologica
 Acta Ginecol Madr; Acta ginecologica
 Acta Gynaecol Obstet Hisp Lusit; Acta gynaecologica et obstetrica Hispano-Lusitana
 Acta Haematol; Acta haematologica
 Nihon Ketsueki Gakkai Zasshi; Nihon Ketsueki Gakkai zasshi  journal of Japan Haematological Society
 Acta Haematol Pol; Acta haematologica Polonica
 Acta Hepatogastroenterol Stuttg; Acta hepato-gastroenterologica
 Acta Hist Sci Nat Med; Acta historica scientiarum naturalium et medicinalium
 Acta Histochem; Acta histochemica
 Acta Iber Radiol Cancerol; Acta iberica radiologica-cancerologica
 Acta Isot Padova; Acta isotopica
 Acta Leiden; Acta Leidensia
 Igaku Kenkyu; Igaku kenkyu Acta medica
 Acta Med Acad Sci Hung; Acta medica Academiae Scientiarum Hungaricae
 Acta Med Austriaca; Acta medica Austriaca
 Acta Med Austriaca Suppl; Acta medica Austriaca Supplement
 Acute Care; Acute care
 Acta Med Biol Niigata; Acta medica et biologica
 Perspectives; Perspectives Gerontological Nursing Association Canada
 Acta Med Ital Med Trop Subtrop Gastroenterol; Acta medica Italica di medicina tropicale e subtropicale e di gastroenterologia
 Acta Med Iugosl; Acta medica Iugoslavica
 Acta Med Leg Soc Liege; Acta medicinae legalis et socialis
 Acta Med Nagasaki; Acta medica Nagasakiensia
 Fam Pract Res J; Family practice research journal
 Fetal Ther; Fetal therapy
 Gynecol Endocrinol; Gynecological endocrinology  the official journal of the International Society of Gynecological Endocrinology
 Int J Dev Neurosci; International journal of developmental neuroscience  the official journal of the International Society for Developmental Neuroscience
 J Am Board Fam Pract; The Journal of the American Board of Family Practice
 J Biol Regul Homeost Agents; Journal of biological regulators and homeostatic agents
 J Biolumin Chemilumin; Journal of bioluminescence and chemiluminescence
 Acta Med Okayama; Acta medica Okayama
 J Bone Miner Res; Journal of bone and mineral research  the official journal of the American Society for Bone and Mineral Research
 Acta Med Philipp; Acta medica Philippina
 Acta Med Pol; Acta medica Polona
 Acta Med Port; Acta medica portuguesa
 Acta Med Scand; Acta medica Scandinavica
 Acta Med Scand Suppl; Acta medica Scandinavica Supplementum
 Acta Med Vet Napoli; Acta medica veterinaria
 Acta Microbiol Acad Sci Hung; Acta microbiologica Academiae Scientiarum Hungaricae
 Acta Microbiol Bulg; Acta microbiologica Bulgarica
 Acta Microbiol Pol; Acta microbiologica Polonica
 Acta Microbiol Pol A; Acta microbiologica Polonica Series A Microbiologia generalis
 Acta Microbiol Pol B; Acta microbiologica Polonica Series B Microbiologia applicata
 Acta Morphol Acad Sci Hung; Acta morphologica Academiae Scientiarum Hungaricae
 Acta Microbiol Virol Immunol Sofiia; Acta microbiologica virologica et immunologica
 Acta Morphol Hung; Acta morphologica Hungarica
 Acta Morphol Neerl Scand; Acta morphologica Neerlando-Scandinavica
 Acta Neurobiol Exp Wars; Acta neurobiologiae experimentalis
 Acta Neurochir Wien; Acta neurochirurgica
 Acta Neurochir Suppl Wien; Acta neurochirurgica Supplementum
 Acta Neurol Napoli; Acta neurologica
 Acta Rhumatol; Acta rhumatologica
 Acta Leprol; Acta leprologica
 Acta Microbiol Hung; Acta microbiologica Hungarica
 Acta Neurol Belg; Acta neurologica Belgica
 Acta Neurol Latinoam; Acta neurologica latinoamericana
 Acta Neurol Quad Napoli; Acta neurologica Quaderni
 Acta Neurol Scand; Acta neurologica Scandinavica
 Acta Neurol Scand Suppl; Acta neurologica Scandinavica Supplementum
 Acta Neuropathol; Acta neuropathologica
 Acta Neuropathol Suppl; Acta neuropathologica Supplementum
 Acta Neuroveg Wien; Acta neurovegetativa
 Acta Obstet Ginecol Hisp Lusit; Acta obstetrica y ginecologica hispano-lusitana
 Acta Obstet Ginecol Hisp Lusit Suppl; Acta obstetrica y ginecologica hispano-lusitana Suplemento
 Acta Obstet Gynaecol Jpn; Acta obstetrica et gynaecologica Japonica
 Acta Obstet Gynecol Scand; Acta obstetricia et gynecologica Scandinavica
 Acta Obstet Gynecol Scand Suppl; Acta obstetricia et gynecologica Scandinavica Supplement
 Acta Odontol Scand; Acta odontologica Scandinavica
 Acta Odontol Scand Suppl; Acta odontologica Scandinavica Supplementum
 Acta Odontol Venez; Acta odontologica venezolana
 Acta Oncol Madr; Acta oncologica
 Acta Ophthalmol Copenh; Acta ophthalmologica
 Acta Ophthalmol Suppl; Acta ophthalmologica Supplementum
 Acta Orthop Belg; Acta orthopaedica Belgica
 Acta Orthop Scand; Acta orthopaedica Scandinavica
 Acta Orthop Scand Suppl; Acta orthopaedica Scandinavica Supplementum
 Acta Otolaryngol; Acta oto-laryngologica
 Acta Otolaryngol Suppl; Acta oto-laryngologica Supplementum
 Acta Otorhinolaryngol Belg; Acta oto-rhino-laryngologica Belgica
 Acta Otorhinolaryngol Ital; Acta otorhinolaryngologica Italica  organo ufficiale della Societa italiana di otorinolaringologia e chirurgia cervico-facciale
 Acta Otorinolaryngol Iber Am; Acta oto-rino-laringologica ibero-americana
 Acta Paediatr Acad Sci Hung; Acta paediatrica Academiae Scientiarum Hungaricae
 Acta Paediatr Belg; Acta paediatrica Belgica
 Nihon Shonika Gakkai Zasshi; Nihon Shonika Gakkai zasshi Acta paediatrica Japonica
 Acta Paediatr Jpn; Acta paediatrica Japonica  Overseas edition
 Acta Paediatr Scand; Acta paediatrica Scandinavica
 Acta Paediatr Scand Suppl; Acta paediatrica Scandinavica Supplement
 Zhonghua Min Guo Xiao Er Ke Yi Xue Hui Za Zhi; Zhonghua Minguo xiao er ke yi xue hui za zhi Journal Zhonghua Minguo xiao er ke yi xue hui
 Acta Paedopsychiatr; Acta paedopsychiatrica
 Ser Paedopsychiatr; Series paedopsychiatrica
 Acta Pathol Jpn; Acta pathologica japonica
 Acta Pathol Microbiol Scand; Acta pathologica et microbiologica Scandinavica
 Acta Pathol Microbiol Scand A; Acta pathologica et microbiologica Scandinavica Section A Pathology
 Acta Pathol Microbiol Scand B; Acta pathologica et microbiologica Scandinavica Section B Microbiology
 Acta Pathol Microbiol Scand C; Acta pathologica et microbiologica Scandinavica Section C Immunology
 Acta Pathol Microbiol Scand Suppl; Acta pathologica et microbiologica Scandinavica Supplement
 Acta Pathol Microbiol Immunol Scand Suppl; Acta pathologica microbiologica et immunologica Scandinavica Supplement
 Acta Pediatr Esp; Acta pediatrica espanola
 Acta Pathol Microbiol Immunol Scand A; Acta pathologica microbiologica et immunologica Scandinavica Section A Pathology
 Acta Pathol Microbiol Immunol Scand B; Acta pathologica microbiologica et immunologica Scandinavica Section B Microbiology
 Acta Pathol Microbiol Immunol Scand C; Acta pathologica microbiologica et immunologica Scandinavica Section C Immunology
 Acta Pharm Hung; Acta pharmaceutica Hungarica
 Zhongguo Yao Li Xue Bao; Zhongguo yao li xue bao = Acta pharmacologica Sinica
 Yao Xue Xue Bao; Yao xue xue bao = Acta pharmaceutica Sinica
 Acta Pharm Suec; Acta pharmaceutica Suecica
 Acta Pharmacol Toxicol Copenh; Acta pharmacologica et toxicologica
 Acta Physiol Acad Sci Hung; Acta physiologica Academiae Scientiarum Hungaricae
 Acta Physiol Hung; Acta physiologica Hungarica
 Acta Physiol Lat Am; Acta physiologica latino americana
 Acta Physiol Pharmacol Bulg; Acta physiologica et pharmacologica Bulgarica
 Acta Physiol Pharmacol Latinoam; Acta physiologica et pharmacologica latinoamericana  organo de la Asociacion Latinoamericana de Ciencias Fisiologicas y de la Asociacion Latinoamericana de Farmacologia
 Acta Physiol Pharmacol Neerl; Acta physiologica et pharmacologica Neerlandica
 Acta Physiol Pol; Acta physiologica Polonica
 Acta Physiol Scand; Acta physiologica Scandinavica
 Acta Physiol Scand Suppl; Acta physiologica Scandinavica Supplementum
 Acta Pol Pharm; Acta poloniae pharmaceutica
 Acta Psiquiatr Psicol Am Lat; Acta psiquiatrica y psicologica de America latina
 Acta Psychiatr Belg; Acta psychiatrica Belgica
 Acta Psychiatr Scand; Acta psychiatrica Scandinavica
 Acta Psychiatr Scand Suppl; Acta psychiatrica Scandinavica Supplementum
 Acta Psychol Amst; Acta psychologica
 Acta Rhumatol Belg; Acta rhumatologica Belgica
 Acta Radiol Diagn Stockh; Acta radiologica diagnosis
 Acta Radiol Suppl; Acta radiologica Supplementum
 Acta Radiol Ther Phys Biol; Acta radiologica therapy physics biology
 Acta Radiol Oncol Radiat Phys Biol; Acta radiologica oncology radiation physics biology
 Acta Radiol Oncol; Acta radiologica Oncology
 Acta Med Iran; Acta medica Iranica
 Acta Rheumatol Scand; Acta rheumatologica Scandinavica
 Acta Sch Med Univ Kioto; Acta Scholae Medicinalis Universitatis in Kioto
 Acta Soc Med Ups; Acta Societatis Medicorum Upsaliensis
 Acta Stomatol Int; Acta stomatologica internationalia  revue scientifique et bulletin officiel de l'Association stomatologique internationale
 Nippon Ganka Gakkai Zasshi; Nippon Ganka Gakkai zasshi
 Acta Sociomed Scand; Acta socio-medica Scandinavica
 Acta Stomatol Belg; Acta stomatologica Belgica
 Acta Stomatol Croat; Acta stomatologica Croatica
 Acta Theriol Warsz; Acta theriologica
 Acta Trop; Acta tropica
 Acta Trop Suppl; Acta tropica Supplementum
 Acta Tuberc Pneumol Belg; Acta tuberculosea et pneumologica Belgica
 Acta Tuberc Jpn; Acta tuberculosea Japonica
 Acta Tuberc Pneumol Scand; Acta tuberculosea et pneumologica Scandinavica
 Acta Univ Carol Med Praha; Acta Universitatis Carolinae Medica
 Acta Univ Carol Med Monogr; Acta Universitatis Carolinae Medica Monographia
 Acta Urol Belg; Acta urologica Belgica
 Hinyokika Kiyo; Hinyokika kiyo Acta urologica Japonica
 Acta Vet Acad Sci Hung; Acta veterinaria Academiae Scientiarum Hungaricae
 Acta Vet Hung; Acta veterinaria Hungarica
 Acta Vet Scand; Acta veterinaria Scandinavica
 Acta Vet Scand Suppl; Acta veterinaria Scandinavica Supplementum
 Acta Virol; Acta virologica
 Acta Vitaminol Enzymol; Acta vitaminologica et enzymologica
 Acta Zool Pathol Antverp; Acta zoologica et pathologica Antverpiensia
 Afr J Psychiatry; The African journal of psychiatry
 Actas Dermosifiliogr; Actas dermo-sifiliograficas
 Actas Urol Esp; Actas urologicas espanolas
 Acta Univ Palacki Olomuc Fac Med; Acta Universitatis Palackianae Olomucensis Facultatis Medicae
 Actas Luso Esp Neurol Psiquiatr Cienc Afines; Actas luso-espanolas de neurologia psiquiatria y ciencias afines
 Actas Luso Esp Neurol Psiquiatr; Actas luso-espanolas de neurologia y psiquiatria
 Actual Cardiol Angeiol Int Paris; Actualites cardiologiques et angeiologiques internationales
 Actual Endocrinol Paris; Actualites endocrinologiques
 Actual Hepatogastroenterol Paris; Actualites hepato-gastro-enterologiques
 Actual Neurophysiol Paris; Actualites neurophysiologiques
 Actual Odontostomatol Paris; Actualites odonto-stomatologiques
 Actual Pediatr Granada; Actualidad pediatrica revista de bibliografia internacional
 Actual Pharmacol Paris; Actualites pharmacologiques
 Acupunct Electrother Res; Acupuncture & electro-therapeutics research
 Actual Physiol Pathol Paris; Actualites de physiologie pathologique
 Addict Behav; Addictive behaviors
 Adv Data; Advance data
 ADM; ADM revista de la Asociacion Dental Mexicana
 Adm Soc Work; Administration in social work
 Addict Dis; Addictive diseases
 Adm Sci Q; Administrative science quarterly
 Adolescence; Adolescence
 Adult Educ; Adult education
 Adv Anat Embryol Cell Biol; Advances in anatomy embryology and cell biology
 Adv Appl Microbiol; Advances in applied microbiology
 Adm Ment Health; Administration in mental health
 Adv Biochem Psychopharmacol; Advances in biochemical psychopharmacology
 Adv Biol Med Phys; Advances in biological and medical physics
 Lifelong Learn Adult Years; Lifelong learning the adult years
 Adv Biochem Eng Biotechnol; Advances in biochemical engineering/biotechnology
 Adv Biol Skin; Advances in biology of skin
 Adv Biomed Eng Med Phys; Advances in biomedical engineering and medical physics
 Adv Biophys; Advances in biophysics
 Adv Cancer Res; Advances in cancer research
 Adv Carbohydr Chem Biochem; Advances in carbohydrate chemistry and biochemistry
 Adv Cardiol; Advances in cardiology
 Adv Cardiopulm Dis; Advances in cardiopulmonary diseases
 Adv Cell Biol; Advances in cell biology
 Adv Chemother; Advances in chemotherapy
 Adv Child Dev Behav; Advances in child development and behavior
 Adv Contracept; Advances in contraception  the official journal of the Society for the Advancement of Contraception
 Adv Chromatogr; Advances in chromatography
 Adv Clin Chem; Advances in clinical chemistry
 Adv Clin Pharmacol; Advances in clinical pharmacology
 Adv Comp Physiol Biochem; Advances in comparative physiology and biochemistry
 Adv Cyclic Nucleotide Protein Phosphorylation Res; Advances in cyclic nucleotide and protein phosphorylation research
 Adv Cyclic Nucleotide Res; Advances in cyclic nucleotide research
 Adv Cytopharmacol; Advances in cytopharmacology
 Adv Drug Res; Advances in drug research
 Adv Enzyme Regul; Advances in enzyme regulation
 Adv Enzymol Relat Areas Mol Biol; Advances in enzymology and related areas of molecular biology
 Adv Exp Med Biol; Advances in experimental medicine and biology
 Adv Fluorine Res; Advances in fluorine research and dental caries prevention
 Adv Health Econ Health Serv Res; Advances in health economics and health services research
 Aktuelle Traumatol; Aktuelle Traumatologie
 Adv Food Res; Advances in food research
 Adv Immun Cancer Ther; Advances in immunity and cancer therapy
 Adv Genet; Advances in genetics
 Adv Gerontol Res; Advances in gerontological research
 Adv Nutr Res; Advances in nutritional research
 Adv Heterocycl Chem; Advances in heterocyclic chemistry
 Adv Hum Genet; Advances in human genetics
 Adv Immunol; Advances in immunology
 Adv Inorg Biochem; Advances in inorganic biochemistry
 Adv Intern Med; Advances in internal medicine
 Adv Lipid Res; Advances in lipid research
 Adv Metab Disord; Advances in metabolic disorders
 Adv Microb Physiol; Advances in microbial physiology
 Adv Nephrol Necker Hosp; Advances in nephrology from the Necker Hospital
 Adv Morphog; Advances in morphogenesis
 Adv Neurol; Advances in neurology
 Shinkei Kenkyu No Shimpo; Shinkei kenkyu no shimpo Advances in neurological sciences
 Adv Alcohol Subst Abuse; Advances in alcohol & substance abuse
 Adv Ophthalmol; Advances in ophthalmology = Fortschritte der Augenheilkunde = Progres en ophtalmologie
 Adv Oral Biol; Advances in oral biology
 Adv Otorhinolaryngol; Advances in oto-rhino-laryngology
 Adv Prostaglandin Thromboxane Res; Advances in prostaglandin and thromboxane research
 Adv Parasitol; Advances in parasitology
 Adv Pathobiol; Advances in pathobiology
 Adv Pediatr; Advances in pediatrics
 Adv Pest Control Res; Advances in pest control research
 Adv Pharm Sci; Advances in pharmaceutical sciences
 Adv Pharmacol Chemother; Advances in pharmacology and chemotherapy
 Adverse Drug React Acute Poisoning Rev; Adverse drug reactions and acute poisoning reviews
 Adv Protein Chem; Advances in protein chemistry
 Adv Prostaglandin Thromboxane Leukot Res; Advances in prostaglandin thromboxane and leukotriene research
 Adv Psychobiol; Advances in psychobiology
 Adv Psychosom Med; Advances in psychosomatic medicine
 Adv Sci; Advancement of science
 Adv Steroid Biochem Pharmacol; Advances in steroid biochemistry and pharmacology
 Adv Surg; Advances in surgery
 Adv Reprod Physiol; Advances in reproductive physiology
 Adv Tracer Methodol; Advances in tracer methodology
 Adv Sex Horm Res; Advances in sex hormone research
 Adv Sociodent Res; Advances in socio-dental research
 Adv Tuberc Res; Advances in tuberculosis research Fortschritte der Tuberkuloseforschung Progres de l'exploration de la tuberculose
 Adv Vet Sci Comp Med; Advances in veterinary science and comparative medicine
 Adv Shock Res; Advances in shock research
 Adv Virus Res; Advances in virus research
 Aeromed Rev; Aeromedical reviews
 Aerosp Med; Aerospace medicine
 Arztl Forsch; Arztliche Forschung
 Arztl Jugendkd; Arztliche Jugendkunde
 Asthet Med Berl; Asthetische Medizin
 Aesthetic Plast Surg; Aesthetic plastic surgery
 AFL CIO Am Fed; The AFL-CIO American federationist AFL-CIO
 Afr J Med Sci; The African journal of medical sciences
 Aging Leis Living; Aging & leisure living
 Age Ageing; Age and ageing
 Aging; Aging
 Agents Actions; Agents and actions
 Aggiorn Clinico Ter; Aggiornamenti clinicoterapeutici
 Agents Actions Suppl; Agents and actions Supplements
 Agnes Karll Schwest Krankenpfleger; Die Agnes Karll-Schwester der Krankenpfleger
 Agressologie; Agressologie revue internationale de physio-biologie et de pharmacologie appliquees aux effets de l'agression
 Aichi Gakuin Daigaku Shigakkai Shi; Aichi Gakuin Daigaku Shigakkai shi
 Arch Interam Rheumatol; Archives of interamerican rheumatology  AIR
 Air Water Pollut; Air and water pollution
 Aktuelle Gerontol; Aktuelle Gerontologie
 Aktuelle Otorhinolaryngol; Aktuelle Oto-Rhino-Laryngologie
 Am J Otolaryngol; American journal of otolaryngology
 Aktuelle Probl Chir; Aktuelle Probleme in der Chirurgie
 Aktuelle Probl Chir Orthop; Aktuelle Probleme in Chirurgie und Orthopadie
 Adolesc Psychiatry; Adolescent psychiatry
 Akush Ginekol Mosk; Akusherstvo i ginekologiia
 Akush Ginekol Sofiia; Akusherstvo i ginekologiia
 Ala J Med Sci; The Alabama journal of medical sciences
 Brain Dev; Brain & development
 Ala Nurse; The Alabama nurse
 Am Coll Physicians Obs; American College of Physicians observer
 Bull Alameda Cty Dent Soc; Bulletin - Alameda County Dental Society
 Am J Pediatr Hematol Oncol; The American journal of pediatric hematology/oncology
 Alaska Med; Alaska medicine
 Am J Dermatopathol; The American Journal of dermatopathology
 Alaska Nurse; The Alaska nurse
 Alcohol Clin Exp Res; Alcoholism clinical and experimental research
 Albrecht Von Graefes Arch Klin Exp Ophthalmol; Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie Albrecht von Graefe's archive for clinical and experimental ophthalmology
 Alergia; Alergia
 Alex Dent J; Alexandria dental journal  ADJ
 Aliment Vie; L' Alimentation et la vie
 Appl Radiol; Applied radiology
 Allerg Asthma Leipz; Allergie und Asthma
 Allergy; Allergy
 Allerg Asthmaforsch; Allergie- und Asthmaforschung
 Allerg Immunol Leipz; Allergie und Immunologie
 Allied Health Behav Sci; Allied health and behavioral sciences
 AHME J; AHME journal
 AJR Am J Roentgenol; AJR American journal of roentgenology
 AIA J; AIA journal American Institute of Architects
 AJNR Am J Neuroradiol; AJNR American journal of neuroradiology
 Allergol Immunopathol Madr; Allergologia et immunopathologia
 Alcohol Health Res World; Alcohol health and research world
 Ala Med; Alabama medicine  journal of the Medical Association of the State of Alabama
 Alma Mater Baltimore; The Alma mater
 Alpha Omegan; The Alpha omegan
 Altern Entwickl Aging Dev; Altern und Entwicklung Aging and development
 Alumnae Mag; The Alumnae magazine
 Alumnae Mag Columbia Univ Presbyt Hosp Sch Nurs Alumnae Assoc; Alumnae magazine Columbia University-Presbyterian Hospital School of Nursing Alumnae Association
 Alumni Bull Sch Dent Indiana Univ; Alumni bulletin - School of Dentistry Indiana University
 Alumni Bull Univ Mich Sch Dent; Alumni bulletin University of Michigan School of Dentistry
 Alumni Mag Columbia Univ Presbyt Hosp Sch Nurs Alumni Assoc; Alumni magazine Columbia University-Presbyterian Hospital School of Nursing Alumni Association
 Am Behav Sci; The American behavioral scientist
 Am Ann Deaf; American annals of the deaf
 Am Arch Rehabil Ther; American archives of rehabilitation therapy
 Am Assoc Ind Nurses J; American Association of Industrial Nurses journal
 Am Correct Ther J; American corrective therapy journal
 Am Fam Physician; American family physician
 Am Heart J; American heart journal
 Am Pharm; American pharmacy
 Am Rehabil; American rehabilitation
 Am Imago; The American imago a psychoanalytic journal for the arts and sciences
 Am J Art Ther; American journal of art therapy
 Am Ind Hyg Assoc J; American Industrial Hygiene Association journal
 Am Educ; American education
 Annu Meet Am Inst Oral Biol; Annual meeting - American Institute of Oral Biology
 Am J Anat; The American journal of anatomy
 Am J Bot; American journal of botany
 Am J Cardiol; The American journal of cardiology
 Am J Chin Med Gard City N Y; The American journal of Chinese medicine
 Am J Chin Med; The American journal of Chinese medicine
 Am J Clin Hypn; The American journal of clinical hypnosis
 Am J Clin Nutr; The American journal of clinical nutrition
 Am J Clin Oncol; American journal of clinical oncology
 Am J Clin Pathol; American journal of clinical pathology
 Am J Community Psychol; American journal of community psychology
 Am J Orthod Dentofacial Orthop; American journal of orthodontics and dentofacial orthopedics  official publication of the American Association of Orthodontists its constituent societies and the American Board of Orthodontics
 Am J Dig Dis; The American journal of digestive diseases
 Am J Econ Sociol; American journal of economics and sociology
 Am J Dis Child; American journal of diseases of children 1960
 Am J Drug Alcohol Abuse; The American journal of drug and alcohol abuse
 Am J Epidemiol; American journal of epidemiology
 Am J Hematol; American journal of hematology
 Am J Kidney Dis; American journal of kidney diseases  the official journal of the National Kidney Foundation
 Am J Health Plann; American journal of health planning
 Am J Forensic Med Pathol; The American journal of forensic medicine and pathology
 Am J Gastroenterol; The American journal of gastroenterology
 Am J Hosp Pharm; American journal of hospital pharmacy
 Am J Hum Genet; American journal of human genetics
 Am J Ind Med; American journal of industrial medicine
 Am J Law Med; American journal of law & medicine
 Am J Med; The American journal of medicine
 Am J Med Electron; The American journal of medical electronics
 Am J Med Sci; The American journal of the medical sciences
 Am J Med Genet; American journal of medical genetics
 Am J Med Technol; The American journal of medical technology
 Am J Ment Defic; American journal of mental deficiency
 Am J Nephrol; American journal of nephrology
 Am J Nurs; The American journal of nursing
 Am J Obstet Gynecol; American journal of obstetrics and gynecology
 Am J Occup Ther; The American journal of occupational therapy  official publication of the American Occupational Therapy Association
 Am J Ophthalmol; American journal of ophthalmology
 Am J Optom Arch Am Acad Optom; American journal of optometry and archives of American Academy of Optometry
 Am J Optom Physiol Opt; American journal of optometry and physiological optics
 Am J Orthod; American journal of orthodontics
 Am J Orthop Surg; The American journal of orthopedic surgery
 Am J Orthopsychiatry; The American journal of orthopsychiatry
 Am J Otol; The American journal of otology
 Am J Pharm Educ; American journal of pharmaceutical education
 Am J Pathol; The American journal of pathology
 Am J Pharm Sci Support Public Health; American journal of pharmacy and the sciences supporting public health
 Am J Phys Anthropol; American journal of physical anthropology
 Am J Phys Med; American journal of physical medicine
 Am J Physiol; The American journal of physiology
 Am J Pract Nurs; American journal of practical nursing
 Am J Proctol; American journal of proctology
 Am J Proctol Gastroenterol Colon Rectal Surg; American journal of proctology gastroenterology & colon & rectal surgery
 Am J Psychiatry; The American journal of psychiatry
 Am J Psychoanal; American journal of psychoanalysis
 Am J Psychol; The American journal of psychology
 Am J Psychother; American journal of psychotherapy
 Am J Public Health; American journal of public health
 Am J Reprod Immunol Microbiol; American journal of reproductive immunology and microbiology  AJRIM
 Am J Roentgenol Radium Ther Nucl Med; The American journal of roentgenology radium therapy and nuclear medicine
 Am J EEG Technol; The American journal of EEG technology
 Am J Sports Med; The American journal of sports medicine
 Am Med News; American medical news
 AJS; AJS American journal of sociology
 Am J Surg Pathol; The American journal of surgical pathology
 Am J Surg; American journal of surgery
 Am Laund Dig; American laundry digest
 Am J Trop Med Hyg; The American journal of tropical medicine and hygiene
 Am J Vet Res; American journal of veterinary research
 Am Nurse; The American nurse
 Am Lung Assoc Bull; American Lung Association bulletin
 Am Orthopt J; The American orthoptic journal
 Am Psychol; The American psychologist
 Am Rev Respir Dis; The American review of respiratory disease
 Am Sci; American scientist
 Am Sociol Rev; American sociological review
 Am Surg; The American surgeon
 Am Zool; American zoologist
 An Acad Bras Cienc; Anais da Academia Brasileira de Ciencias
 An Bras Dermatol; Anais brasileiros de dermatologia
 An Bras Ginecol; Anais brasileiros de ginecologia
 An Cir Rosario; Anales de cirugia
 An Esc Nacl Saude Publica Med Trop Lisb; Anais da Escola Nacional de Saude Publica e de Medicina Tropical
 Anal Quant Cytol; Analytical and quantitative cytology
 An Esp Odontoestomatol; Anales espanoles de odontoestomatologia
 An Esp Pediatr; Anales espanoles de pediatria
 An Fac Med Lima; Anales Universidad Nacional Mayor de San Marcos Facultad de Medicina
 An Fac Med Univ Repub Montev Urug; Anales de la Facultad de Medicina Universidad de la Republica Montevideo Uruguay
 An Fac Odontol; Anales de la Facultad de Odontologia
